Paste the RECORDING and DECK columns into the Session Calendar tab.
Match rows by DATE — the site reads these columns by header name, so they can sit anywhere.

DATE	TOPIC	RECORDING	DECK
7/31/2026	What's Your Intellectual Property Status? It's Complicated.	https://drive.google.com/file/d/1f-F6ojlhb5nbJ53XMk5cWOAqTnI4teKq/view	
7/24/2026	What 10,000 Personalities Reveal About How Business Buyers Actually Decide	https://drive.google.com/file/d/1S6aUbUSTVxk2XO-Cn9GSMLKKSMiVsWaS/view	
7/17/2026	What Technology Companies Can Learn from Theater	https://drive.google.com/file/d/11hKVlgi56A6J6uFlRWBQsclZP1omVwXf/view	
7/10/2026	Higher Highs, and Lower Lows: The Roller Coaster of Higher Ed Teaching	https://drive.google.com/file/d/12qStmj66WDwxi4-u8DMoPaWGMqEW19QH/view	
6/26/2026	The AI Antidote: In-Person, Small Group Meetings	https://drive.google.com/file/d/1eWwsG2i4gD5BqrfjTaljT1nx6VnToQnH/view	
6/19/2026	Tips, Tricks & Tech Tools	https://drive.google.com/file/d/1lBEaJbzhmXo72NSyfV64tsqfqNvffIm2/view	
6/12/2026	What Will You Be (Doing) in the AI Job Apocalypse?	https://drive.google.com/file/d/1lR3H0iKSiJwJfTbu01hirepzR-7C7N2a/view	https://drive.google.com/file/d/14_JJv0BWyIeZtHt0u3uSZ1sNo1WL4D7y/view
6/5/2026	Equip Your Buyer Champion to Seal the Deal	https://drive.google.com/file/d/1PMw2mnTGdEM-TPJ_XfwLN-lrCNtwUPUQ/view	
5/29/2026	Summer plans, anyone?	https://drive.google.com/file/d/1NzsfDb04GIZ9bL5HEasrMzIMkB-n_Gfg/view	
5/22/2026	Buckle up. AI is Changing Everything You Think You Know About Advertising	https://drive.google.com/file/d/1fZ3j08oRZn2ddCbfaMVH3D91NPXW_d2n/view	
5/15/2026	Using AI for GTM strategies.	https://drive.google.com/file/d/1hwnszmusqvnln38M5ydKkBId45Vcmk6m/view	https://drive.google.com/file/d/1esCAawlMwFD1gaYEnOxkWFyrMVSXw1Ig/view
5/8/2026	Reigniting Your Network	https://drive.google.com/file/d/1lnb2iGsbnbmrkFcAHKjnqcYOHTCe-QfQ/view	
5/1/2026	Search Evolution - SEO to GEO and beyond	https://drive.google.com/file/d/1AqM8ADoqFi1qPWbz5D8w8K-5j6lCQh5P/view	
4/24/2026	Business Development - Part 2	https://drive.google.com/file/d/1db5oQZJrAznSRMR7G_u_iIiZCk8Pp1Ma/view	
4/17/2026	6th anniversary celebration & member mingle	https://drive.google.com/file/d/1QfsOJIliXAUm5jf_ba9ttXHpcc-ExYCD/view	
4/10/2026	The American Customer: The Hidden Forces That Shape Choice	https://drive.google.com/file/d/1KNKqCeAprPvTWrAwYxiQ2apw6BlK6Hsz/view	
4/3/2026	Hendrik-Jan - elevator + di	https://drive.google.com/file/d/120mmvEnH8P0hexuTRO1PfuNHspN7Gujm/view	
3/27/2026	Build a Business with a Bigger Purpose	https://drive.google.com/file/d/1sXhM9rwuvBBV1dHzKoXMFKm9baghEHik/view	
3/20/2026	MaGiC Unconference - BYO Issue	https://drive.google.com/file/d/1wMfqD0WwjUZ8e82cAh_RmMs35rWdPk5d/view	
3/13/2026	I am Replacing Myself with AI Before AI Does	https://drive.google.com/file/d/1ocEpVLWbGfyO5M93dmI7GOGzKVKCLR-D/view	
3/6/2026	The Community Conversation: An Unlikely M&A Journey	https://drive.google.com/file/d/13QC6dicDMfuO78rrSKr1UVMz7vy8aHOB/view	
2/27/2026	Transforming Personal Tragedy into a National Literacy Movement - changing date	https://drive.google.com/file/d/19HZYCTaU5F3RfoDrneo-A5JKbtNcRfID/view	
2/20/2026	Building a Business Development Engine That Actually Delivers	https://drive.google.com/file/d/1W0QdhjeBZCtn8nJD-p12vS2NopwyNRYC/view	
2/13/2026	Startup Journey for Audio Docent app	https://drive.google.com/file/d/1D9_gAgry_F-8-M57_iMAc5doasEATevP/view	https://docs.google.com/presentation/d/1n2wxvS33KZ4jiCYKP91OrfZr6GM610PDTTHEzXVXnxk/edit
2/6/2026	Interactive Strategy Session	https://drive.google.com/file/d/1QZZDmjSUYT9lqCOHUg5SFigd5EOCijwU/view	
1/30/2026	What the Dolphins Told Me	https://drive.google.com/file/d/1BKaFbOAYtgfT0nXUZs0gFCUWZRuPvdvP/view	
1/16/2026	Mapping the Media Market	https://drive.google.com/file/d/15ayg0bjDkB4_hMSI7ucKA9zRMdJ2b0BO/view	
12/12/2025	Decision-making	https://drive.google.com/file/d/1xAiU3H7BHUEcP7DVpRV2TRKCzvlyf3xD/view	
12/5/2025	BYO Client: Local Uber Concept	https://drive.google.com/file/d/1PSqv7su3ZXeEO7XHNPTwMM1aoQx4Angx/view	
